;Mkt-RF;SMB;HML;RMW;CMA;RF
20180403;0.37;-0.34;-0.04;0.14;-0.04;0.01
20180404;0.48;-0.19;-0.20;0.25;-0.17;0.01
20180405;0.96;-0.44;0.28;-0.20;0.19;0.01
20180406;-1.13;0.85;0.06;0.08;0.10;0.01
20180409;0.41;-0.14;-0.24;-0.22;-0.27;0.01
20180410;1.28;-0.29;0.06;-0.36;0.23;0.01
20180411;-0.37;0.41;0.44;-0.52;0.27;0.01
20180412;0.41;-0.33;-0.07;-0.14;-0.08;0.01
20180413;-0.07;0.18;0.30;-0.19;0.36;0.01
20180416;0.56;-0.06;-0.06;0.29;0.01;0.01
20180417;0.69;-0.44;-0.53;0.10;-0.34;0.01
20180418;0.32;0.21;0.16;-0.13;0.15;0.01
20180419;-0.38;0.08;0.76;-0.55;0.29;0.01
20180420;-0.60;0.16;0.39;-0.32;0.26;0.01
20180423;-0.25;-0.36;0.25;0.04;0.26;0.01
20180424;-0.53;0.47;0.71;-0.18;0.37;0.01
20180425;-0.35;-0.32;-0.03;0.08;-0.04;0.01
20180426;0.64;-0.41;-0.61;0.09;-0.50;0.01
20180427;0.21;-0.11;-0.14;0.32;-0.06;0.01
20180430;-0.46;0.16;-0.08;-0.14;-0.10;0.01
20180501;-0.17;-0.11;-0.34;0.10;-0.46;0.01
20180502;-0.27;0.69;-0.16;0.07;-0.04;0.01
20180503;-0.10;0.16;-0.30;0.22;-0.21;0.01
20180504;0.76;-0.39;-0.16;-0.06;-0.04;0.01
20180507;0.32;0.08;-0.25;-0.16;-0.21;0.01
20180508;0.01;0.20;-0.08;-0.02;-0.19;0.01
20180509;0.52;-0.38;0.01;-0.43;-0.12;0.01
20180510;0.74;-0.28;0.13;0.05;0.05;0.01
20180511;0.34;0.15;0.01;0.08;0.15;0.01
20180514;0.08;-0.12;-0.04;-0.05;0.02;0.01
20180515;-0.61;0.18;0.24;-0.18;0.21;0.01
20180516;0.19;0.15;-0.32;0.24;-0.02;0.01
20180517;0.15;0.25;0.02;-0.20;0.12;0.01
20180518;-0.18;0.27;-0.40;0.17;-0.16;0.01
20180521;0.56;-0.14;-0.11;0.19;-0.06;0.01
20180522;-0.19;-0.16;0.30;-0.21;-0.07;0.01
20180523;-0.34;0.11;-0.74;0.41;-0.47;0.01
20180524;-0.16;0.55;-1.14;1.06;-0.59;0.01
20180525;-0.41;-0.39;-0.04;-0.20;-0.13;0.01
20180528;-0.14;-0.04;-0.24;0.15;-0.17;0.01
20180529;-1.12;0.61;-0.50;0.21;-0.15;0.01
20180530;0.86;-0.37;0.09;-0.29;0.23;0.01
20180531;-0.33;0.52;-0.51;0.11;-0.25;0.01
20180601;0.67;-0.52;0.07;-0.27;-0.01;0.01
20180604;0.60;0.07;-0.10;0.41;-0.09;0.01
20180605;0.06;0.30;-0.43;0.23;-0.13;0.01
20180606;0.62;-0.34;0.15;-0.11;0.20;0.01
20180607;0.08;0.14;0.65;-0.14;0.56;0.01
20180608;0.00;0.02;-0.42;0.21;-0.21;0.01
20180611;0.27;-0.12;-0.06;0.05;0.04;0.01
20180612;0.02;0.04;-0.51;0.22;-0.22;0.01
20180613;-0.07;0.09;-0.10;-0.13;-0.25;0.01
20180614;-0.21;-0.30;-0.43;0.10;-0.30;0.01
20180615;-0.22;-0.14;-0.40;0.49;-0.16;0.01
20180618;-0.33;0.32;-0.02;-0.19;-0.18;0.01
20180619;-0.72;-0.08;0.16;-0.28;-0.13;0.01
20180620;0.25;0.22;-0.45;-0.01;-0.20;0.01
20180621;-0.56;0.08;-0.27;0.42;-0.05;0.01
20180622;0.45;-0.05;0.43;-0.33;0.54;0.01
20180625;-1.37;0.05;0.39;0.23;0.33;0.01
20180626;0.02;-0.02;-0.02;-0.29;-0.06;0.01
20180627;-0.67;-0.21;0.22;0.04;0.29;0.01
20180628;0.09;-0.40;-0.17;-0.12;-0.21;0.01
20180629;0.57;0.02;-0.09;-0.09;0.15;0.01
20180702;-0.44;-0.32;0.08;-0.21;-0.30;0.01
20180703;0.01;0.12;0.09;-0.16;0.30;0.01
20180704;0.01;-0.16;0.23;-0.07;0.12;0.01
20180705;0.51;-0.54;0.05;-0.05;-0.05;0.01
20180706;0.83;-0.01;-0.44;0.04;-0.16;0.01
20180709;0.84;-0.14;0.09;0.09;-0.16;0.01
20180710;0.22;-0.35;-0.11;0.19;0.08;0.01
20180711;-1.14;-0.22;-0.33;-0.06;-0.22;0.01
20180712;0.71;-0.45;-0.81;0.27;-0.49;0.01
20180713;0.28;0.01;-0.29;0.35;-0.10;0.01
20180716;-0.10;-0.11;0.27;-0.07;0.00;0.01
20180717;0.17;-0.13;-0.22;0.10;-0.09;0.01
20180718;0.30;0.06;0.08;-0.08;-0.08;0.01
20180719;-0.27;0.33;0.00;-0.03;0.07;0.01
20180720;0.22;0.02;-0.18;0.03;-0.14;0.01
20180723;-0.13;-0.18;0.44;-0.38;0.03;0.01
20180724;0.40;-0.39;0.31;0.23;-0.12;0.01
20180725;0.65;-0.21;-0.58;0.11;-0.27;0.01
20180726;-0.13;0.38;0.69;-0.11;0.43;0.01
20180727;-0.23;-0.09;0.64;0.11;0.46;0.01
20180730;-0.38;0.14;1.33;-0.37;0.82;0.01
20180731;0.18;-0.24;-0.15;0.00;0.14;0.01
20180801;-0.18;0.11;-0.25;-0.14;-0.37;0.01
20180802;-0.20;-0.28;-0.67;0.17;-0.44;0.01
20180803;0.25;-0.58;0.08;0.31;0.15;0.01
20180806;0.14;-0.24;-0.25;-0.06;-0.15;0.01
20180807;0.44;-0.15;0.17;-0.07;-0.09;0.01
20180808;0.02;0.13;0.05;0.03;0.01;0.01
20180809;-0.18;0.11;-0.34;0.16;-0.26;0.01
20180810;-1.05;0.24;-0.18;-0.04;-0.07;0.01
20180813;-0.60;-0.40;-0.33;0.35;-0.10;0.01
20180814;0.40;-0.04;-0.11;0.31;0.06;0.01
20180815;-0.94;-0.03;-0.23;0.35;0.01;0.01
20180816;0.57;-0.59;0.28;-0.18;0.17;0.01
20180817;0.43;0.19;0.08;0.03;0.13;0.01
20180820;0.42;-0.14;0.18;-0.14;0.15;0.01
20180821;0.42;0.36;0.11;-0.32;0.02;0.01
20180822;0.14;0.33;-0.30;-0.21;-0.24;0.01
20180823;-0.39;0.02;-0.46;0.19;-0.29;0.01
20180824;0.63;0.01;-0.35;0.06;-0.26;0.01
20180827;0.91;-0.13;-0.21;0.11;-0.30;0.01
20180828;0.04;-0.11;-0.11;0.04;-0.02;0.01
20180829;0.43;-0.17;-0.37;0.00;-0.21;0.01
20180830;-0.40;0.41;-0.49;0.20;-0.21;0.01
20180831;-0.39;0.27;-0.42;0.05;-0.23;0.01
20180903;-0.09;-0.31;0.03;-0.09;0.04;0.01
20180904;-0.43;-0.11;-0.16;-0.08;-0.20;0.01
20180905;-0.57;0.21;0.69;0.05;0.49;0.01
20180906;-0.40;-0.15;0.19;0.09;0.10;0.01
20180907;-0.39;-0.15;-0.07;-0.03;0.05;0.01
20180910;0.31;-0.10;-0.13;0.02;0.10;0.01
20180911;0.27;-0.35;-0.25;0.08;-0.31;0.01
20180912;0.21;-0.19;-0.09;0.09;0.12;0.01
20180913;0.41;-0.33;-0.05;0.03;-0.10;0.01
20180914;0.15;0.17;0.01;-0.07;-0.09;0.01
20180917;-0.23;0.18;0.62;0.08;0.52;0.01
20180918;0.54;-0.06;0.01;-0.08;0.03;0.01
20180919;0.31;0.00;0.69;-0.34;0.17;0.01
20180920;0.82;-0.21;0.05;-0.17;-0.10;0.01
20180921;0.12;-0.06;0.27;0.04;0.32;0.01
20180924;-0.38;0.06;-0.28;-0.10;-0.24;0.01
20180925;0.19;0.20;-0.21;-0.15;-0.02;0.01
20180926;-0.13;0.01;-0.50;0.41;-0.10;0.01
20180927;-0.24;-0.55;-0.24;0.11;-0.15;0.01
20180928;-0.21;0.32;-0.34;0.29;-0.08;0.01
20181001;0.10;-0.57;-0.08;0.19;-0.10;0.01
20181002;-0.34;-0.36;0.59;0.02;0.34;0.01
20181003;-0.15;-0.16;0.18;-0.33;-0.04;0.01
20181004;-0.72;0.16;1.15;-0.29;0.72;0.01
20181005;-0.63;-0.20;0.27;-0.24;0.35;0.01
20181008;-0.47;-0.14;0.67;0.21;0.49;0.01
20181009;-0.28;-0.54;0.30;-0.32;0.12;0.01
20181010;-2.30;1.04;1.09;-0.30;0.93;0.01
20181011;-1.94;0.02;-0.23;0.11;-0.15;0.01
20181012;0.74;-0.34;-1.56;0.66;-0.93;0.01
20181015;-0.38;0.20;0.50;-0.17;0.42;0.01
20181016;1.69;-0.44;-0.78;0.09;-0.48;0.01
20181017;-0.18;0.11;-0.20;0.02;-0.15;0.01
20181018;-1.14;0.26;0.23;-0.09;0.25;0.01
20181019;-0.15;-0.68;0.34;0.17;0.34;0.01
20181022;-0.44;0.08;-0.62;0.56;-0.32;0.01
20181023;-1.08;-0.45;-0.03;0.11;0.04;0.01
20181024;-2.22;0.64;0.37;0.37;0.75;0.01
20181025;0.70;-1.33;-0.20;-0.10;-0.77;0.01
20181026;-1.08;0.40;0.70;-0.44;0.52;0.01
20181029;-0.38;-0.10;1.22;-0.38;0.94;0.01
20181030;1.01;-0.07;-0.25;0.36;0.09;0.01
20181031;1.28;-0.06;-1.04;0.12;-0.93;0.01
20181101;1.12;0.55;-0.52;-0.29;-0.36;0.01
20181102;-0.01;0.74;-0.01;-0.19;-0.07;0.01
20181105;0.04;-0.35;0.55;-0.12;0.47;0.01
20181106;0.45;-0.15;0.08;-0.05;0.10;0.01
20181107;1.43;-0.66;-0.92;0.28;-0.58;0.01
20181108;-0.15;0.06;0.02;0.08;0.14;0.01
20181109;-0.88;-0.08;0.28;0.27;0.47;0.01
20181112;-1.69;0.09;0.79;0.17;0.71;0.01
20181113;-0.06;-0.40;-0.12;0.07;-0.04;0.01
20181114;-0.49;-0.04;0.34;0.13;0.13;0.01
20181115;0.52;-0.26;-0.44;-0.16;-0.32;0.01
20181116;0.28;-0.01;0.13;-0.30;0.18;0.01
20181119;-1.11;0.51;1.11;0.00;0.87;0.01
20181120;-1.75;0.02;0.05;-0.29;0.13;0.01
20181121;0.57;-0.06;0.01;-0.23;-0.13;0.01
20181122;0.02;0.35;-0.26;0.19;-0.17;0.01
20181123;-0.39;0.28;-0.42;0.07;0.02;0.01
20181126;1.12;-0.84;-0.08;-0.09;-0.51;0.01
20181127;-0.04;-0.27;-0.06;0.30;0.07;0.01
20181128;1.68;-0.18;-1.11;0.40;-0.80;0.01
20181129;0.07;0.19;-0.22;-0.12;-0.10;0.01
20181130;0.23;-0.14;-0.43;0.34;-0.20;0.01
20181203;1.26;-0.18;-0.45;0.09;-0.49;0.01
20181204;-2.45;0.20;0.04;-0.08;0.53;0.01
20181205;-0.38;-0.23;0.14;0.09;0.04;0.01
20181206;-1.01;-0.17;-0.44;0.19;-0.25;0.01
20181207;-1.15;0.62;0.74;-0.35;0.52;0.01
20181210;-0.86;-1.01;-0.54;0.02;-0.25;0.01
20181211;0.04;-0.47;-0.32;0.16;-0.15;0.01
20181212;1.20;0.28;-0.12;-0.15;-0.11;0.01
20181213;-0.12;-0.34;0.01;0.26;-0.04;0.01
20181214;-1.60;0.19;0.75;-0.42;0.43;0.01
20181217;-1.35;0.21;0.74;-0.04;0.40;0.01
20181218;-0.37;-0.42;-0.21;0.31;-0.34;0.01
20181219;-0.87;0.14;0.09;-0.02;0.20;0.01
20181220;-1.41;-0.14;0.72;-0.02;0.16;0.01
20181221;-1.71;-0.07;0.50;-0.06;0.29;0.01
20181224;-1.33;1.14;-0.03;-0.25;-0.04;0.01
20181225;-0.59;-0.75;0.20;-0.25;-0.04;0.01
20181226;2.62;-1.12;-1.02;0.34;-0.82;0.01
20181227;0.93;0.54;-0.30;0.39;0.06;0.01
20181228;0.57;0.53;0.33;-0.47;0.09;0.01
20181231;0.78;0.01;-0.33;0.05;-0.16;0.01
20190101;-0.02;-0.02;0.00;-0.01;0.00;0.01
20190102;-0.16;0.41;0.41;-0.09;0.19;0.01
20190103;-1.29;1.10;1.07;-0.40;0.98;0.01
20190104;2.51;-1.25;-0.25;-0.21;-0.40;0.01
20190107;1.03;0.92;-0.71;0.16;-0.40;0.01
20190108;0.80;-0.08;-0.39;0.13;-0.20;0.01
20190109;1.00;0.27;-0.14;0.09;-0.20;0.01
20190110;0.10;-0.38;0.11;-0.15;0.11;0.01
20190111;-0.01;0.13;0.06;0.03;-0.01;0.01
20190114;-0.46;-0.03;0.48;-0.02;0.17;0.01
20190115;0.66;-0.39;-0.64;0.00;-0.48;0.01
20190116;0.16;-0.13;0.39;-0.30;-0.10;0.01
20190117;0.50;-0.08;-0.33;0.18;-0.10;0.01
20190118;1.12;-0.56;-0.07;0.11;-0.09;0.01
20190121;0.05;0.12;0.13;-0.07;0.03;0.01
20190122;-1.07;0.21;0.18;0.07;0.22;0.01
20190123;0.06;-0.20;-0.10;0.23;0.03;0.01
20190124;0.13;0.18;0.05;0.01;-0.09;0.01
20190125;1.05;0.08;-0.08;-0.22;-0.32;0.01
20190128;-0.67;0.25;0.17;0.16;0.10;0.01
20190129;0.00;-0.02;0.29;0.03;0.38;0.01
20190130;1.14;-0.78;-0.55;0.12;-0.71;0.01
20190131;0.62;0.09;-0.76;0.32;-0.26;0.01
20190201;0.08;-0.24;-0.01;-0.17;0.09;0.01
20190204;0.44;0.27;-0.52;0.20;-0.36;0.01
20190205;0.59;-0.39;-0.35;0.32;-0.14;0.01
20190206;-0.25;0.04;0.11;-0.07;0.15;0.01
20190207;-1.00;0.15;-0.08;0.30;0.07;0.01
20190208;-0.34;-0.31;-0.33;-0.14;-0.15;0.01
20190211;0.10;0.05;0.03;-0.12;-0.04;0.01
20190212;1.25;-0.02;-0.16;0.09;-0.25;0.01
20190213;0.26;0.01;-0.08;0.12;-0.03;0.01
20190214;-0.06;0.32;-0.23;0.18;-0.13;0.01
20190215;0.87;-0.31;0.43;-0.35;0.31;0.01
20190218;0.30;0.33;0.03;-0.04;0.01;0.01
20190219;0.21;0.13;0.26;0.02;0.09;0.01
20190220;0.33;-0.04;0.23;-0.04;0.00;0.01
20190221;-0.28;0.14;-0.18;0.20;-0.02;0.01
20190222;0.47;0.03;-0.62;0.23;-0.39;0.01
20190225;0.24;-0.02;-0.33;-0.23;-0.17;0.01
20190226;0.05;-0.07;-0.18;0.16;-0.14;0.01
20190227;-0.07;0.09;-0.01;-0.30;-0.02;0.01
20190228;-0.28;-0.06;-0.05;-0.13;0.21;0.01
20190301;0.51;-0.12;-0.55;0.04;-0.28;0.01
20190304;-0.15;0.24;-0.33;0.23;-0.20;0.01
20190305;-0.21;-0.22;-0.10;-0.02;-0.11;0.01
20190306;-0.54;-0.34;0.00;0.32;0.02;0.01
20190307;-0.90;-0.08;-0.04;-0.06;0.19;0.01
20190308;-0.45;-0.29;0.00;-0.15;-0.14;0.01
20190311;1.12;-0.22;-0.27;-0.07;-0.37;0.01
20190312;0.38;0.10;0.02;-0.14;-0.02;0.01
20190313;0.60;-0.20;-0.14;-0.08;-0.04;0.01
20190314;-0.09;-0.39;0.08;-0.17;0.03;0.01
20190315;0.63;-0.12;-0.16;0.03;-0.16;0.01
20190318;0.49;0.13;0.24;0.02;0.10;0.01
20190319;0.08;-0.21;-0.30;0.07;-0.12;0.01
20190320;-0.25;0.24;-0.44;0.04;-0.26;0.01
20190321;0.54;-0.40;-0.55;0.31;-0.31;0.01
20190322;-1.62;0.27;0.04;0.55;0.14;0.01
20190325;-0.41;-0.30;-0.04;-0.07;0.07;0.01
20190326;0.73;0.11;0.06;0.00;0.20;0.01
20190327;-0.24;0.25;0.21;0.28;0.08;0.01
20190328;-0.02;-0.33;-0.48;0.04;-0.13;0.01
20190329;0.62;-0.19;-0.51;0.14;-0.21;0.01
20190401;1.16;-0.25;0.66;-0.18;0.03;0.01
20190402;0.06;-0.18;-0.01;-0.24;-0.17;0.01
20190403;0.50;0.19;-0.19;0.16;-0.22;0.01
20190404;0.00;0.03;0.42;0.16;0.16;0.01
20190405;0.34;0.10;0.01;-0.15;0.07;0.01
20190408;0.13;-0.03;-0.04;0.21;-0.01;0.01
20190409;-0.47;-0.08;-0.10;0.01;-0.08;0.01
20190410;0.31;0.21;-0.18;0.10;-0.08;0.01
20190411;-0.09;-0.23;0.11;0.11;0.03;0.01
20190412;0.55;-0.22;0.16;0.18;-0.12;0.01
20190415;0.17;0.21;-0.03;0.08;0.01;0.01
20190416;0.14;-0.06;0.13;0.01;-0.12;0.01
20190417;-0.09;-0.11;0.52;0.35;0.08;0.01
20190418;-0.14;-0.51;-0.12;0.25;-0.13;0.01
20190419;0.04;0.09;-0.11;0.03;-0.06;0.01
20190422;0.05;-0.22;-0.20;-0.18;-0.22;0.01
20190423;0.58;-0.03;-0.49;0.05;-0.20;0.01
20190424;-0.44;0.12;-0.54;0.24;-0.09;0.01
20190425;-0.10;0.00;-0.32;0.00;-0.28;0.01
20190426;0.39;-0.08;-0.16;-0.20;-0.05;0.01
20190429;0.23;0.01;0.25;-0.36;0.01;0.01
20190430;0.09;-0.10;-0.02;0.15;0.36;0.01
20190501;-0.52;0.14;-0.15;0.16;-0.10;0.01
20190502;-0.31;0.13;-0.06;-0.16;0.12;0.01
20190503;0.88;0.12;-0.20;-0.05;-0.28;0.01
20190506;-0.56;0.13;-0.08;-0.13;0.22;0.01
20190507;-1.34;0.51;0.02;0.17;0.05;0.01
20190508;-0.27;-0.33;-0.23;0.03;0.04;0.01
20190509;-0.64;-0.24;0.07;-0.06;0.13;0.01
20190510;0.32;0.01;0.00;-0.08;0.14;0.01
20190513;-1.93;0.33;0.54;0.21;0.53;0.01
20190514;0.62;-0.30;-0.15;-0.19;-0.04;0.01
20190515;0.52;-0.15;-0.68;0.28;-0.48;0.01
20190516;0.71;-0.64;-0.26;-0.09;-0.08;0.01
20190517;-0.46;0.12;-0.08;0.24;0.13;0.01
20190520;-0.53;-0.01;0.63;-0.04;0.49;0.01
20190521;0.56;-0.31;-0.15;-0.21;-0.17;0.01
20190522;-0.27;-0.04;-0.58;0.19;-0.06;0.01
20190523;-1.08;0.14;-0.24;0.25;0.24;0.01
20190524;0.40;0.20;0.25;-0.29;-0.06;0.01
20190527;0.04;0.01;0.02;0.02;0.05;0.01
20190528;-0.49;0.51;-0.60;0.21;-0.31;0.01
20190529;-0.95;0.02;0.36;-0.11;0.03;0.01
20190530;0.11;-0.27;-0.17;0.06;-0.02;0.01
20190531;-0.91;0.48;-0.13;0.07;0.19;0.01
20190603;0.02;-0.25;1.22;-0.30;1.00;0.01
20190604;1.50;-0.41;0.36;-0.16;-0.03;0.01
20190605;0.59;-0.33;-0.73;0.37;-0.27;0.01
20190606;0.42;-0.62;-0.24;0.30;-0.09;0.01
20190607;1.05;-0.18;-0.77;0.31;-0.45;0.01
20190610;0.47;-0.03;-0.06;0.12;-0.20;0.01
20190611;0.23;-0.01;0.20;0.21;0.14;0.01
20190612;-0.38;0.20;-0.59;0.30;0.08;0.01
20190613;0.20;-0.08;0.20;-0.11;0.01;0.01
20190614;-0.40;-0.15;-0.02;0.23;0.08;0.01
20190617;-0.02;-0.02;-0.47;-0.24;-0.35;0.01
20190618;0.94;-0.65;0.15;-0.19;-0.02;0.01
20190619;0.58;0.24;-0.06;-0.11;0.07;0.01
20190620;0.96;-0.06;-0.40;0.21;-0.19;0.01
20190621;-0.18;-0.10;0.27;-0.07;0.01;0.01
20190624;-0.13;-0.24;-0.04;0.28;-0.15;0.01
20190625;-0.69;0.26;0.47;-0.22;0.42;0.01
20190626;-0.19;-0.16;0.28;0.03;-0.08;0.01
20190627;0.52;0.59;-0.07;-0.24;-0.09;0.01
20190628;0.52;0.16;0.14;-0.31;0.11;0.01
20190701;0.57;-0.17;0.04;0.14;-0.03;0.01
20190702;0.33;-0.24;-0.45;0.23;-0.08;0.01
20190703;0.63;-0.34;-0.21;-0.16;0.00;0.01
20190704;0.11;0.19;0.16;-0.08;0.08;0.01
20190705;-0.43;0.10;0.40;-0.11;-0.02;0.01
20190708;-0.60;-0.25;-0.03;0.13;-0.08;0.01
20190709;-0.10;-0.47;-0.31;-0.30;-0.19;0.01
20190710;0.35;0.03;-0.21;0.26;-0.03;0.01
20190711;0.14;-0.12;0.10;0.02;-0.20;0.01
20190712;0.41;0.06;0.28;0.29;0.03;0.01
20190715;0.00;-0.27;-0.42;0.13;-0.06;0.01
20190716;-0.33;-0.02;0.07;0.12;-0.01;0.01
20190717;-0.40;0.05;-0.40;-0.19;-0.09;0.01
20190718;0.12;-0.46;-0.14;-0.28;0.18;0.01
20190719;-0.26;0.51;0.26;0.22;0.11;0.01
20190722;0.06;-0.25;-0.20;0.12;-0.17;0.01
20190723;0.51;-0.24;0.37;0.26;0.17;0.01
20190724;0.42;0.23;0.27;-0.03;-0.20;0.01
20190725;-0.53;0.01;-0.06;0.16;0.10;0.01
20190726;0.41;-0.30;-0.26;-0.31;-0.34;0.01
20190729;-0.22;-0.14;-0.31;0.25;0.29;0.01
20190730;-0.38;0.71;0.26;-0.19;0.10;0.01
20190731;-0.91;0.21;0.16;-0.02;0.14;0.01
20190801;-0.41;-0.03;-0.89;-0.07;-0.14;0.01
20190802;-1.14;-0.03;-0.12;0.16;0.03;0.01
20190805;-2.40;0.50;0.41;-0.16;0.51;0.01
20190806;0.45;-0.66;-0.41;0.02;-0.09;0.01
20190807;0.15;-0.11;-0.73;0.23;-0.18;0.01
20190808;1.56;-0.47;-0.45;0.05;-0.34;0.01
20190809;-0.59;0.06;-0.11;-0.09;-0.01;0.01
20190812;-0.83;0.29;-0.18;0.14;0.14;0.01
20190813;0.57;-1.00;-0.45;0.27;-0.20;0.01
20190814;-2.11;1.00;-0.06;-0.03;0.18;0.01
20190815;-0.20;-0.77;-0.02;-0.05;-0.10;0.01
20190816;1.20;-0.29;0.15;-0.19;-0.08;0.01
20190819;1.03;-0.10;0.18;0.22;0.08;0.01
20190820;-0.41;0.67;-0.42;0.13;-0.12;0.01
20190821;0.63;-0.46;-0.39;0.12;-0.25;0.01
20190822;-0.16;0.09;0.43;0.01;0.32;0.01
20190823;-1.48;0.83;-0.03;-0.22;0.03;0.01
20190826;0.21;-0.88;-0.28;0.10;-0.12;0.01
20190827;0.01;-0.07;-0.27;0.31;0.08;0.01
20190828;0.27;-0.19;0.40;0.02;0.13;0.01
20190829;0.94;-0.45;0.25;0.05;-0.08;0.01
20190830;0.27;0.31;0.21;0.19;0.05;0.01
20190902;-0.09;-0.21;-0.07;0.05;0.05;0.01
20190903;-0.47;0.13;0.07;0.03;0.17;0.01
20190904;1.07;-0.45;0.14;-0.07;-0.07;0.01
20190905;1.15;0.07;0.35;0.32;-0.13;0.01
20190906;0.10;-0.12;0.10;0.07;0.14;0.01
20190909;0.11;0.67;1.54;-0.03;0.39;0.01
20190910;0.11;0.42;1.61;-0.61;0.61;0.01
20190911;0.79;0.39;0.26;-0.27;0.24;0.01
20190912;0.33;-0.28;0.01;0.01;-0.03;0.01
20190913;0.26;0.32;0.66;-0.15;0.15;0.01
20190916;-0.46;0.48;0.32;-0.12;0.05;0.01
20190917;0.24;-0.35;-0.78;0.22;-0.24;0.01
20190918;-0.22;-0.37;-0.31;0.17;0.01;0.01
20190919;0.23;0.10;-0.23;0.04;0.01;0.01
20190920;-0.23;0.38;0.22;-0.38;0.07;0.01
20190923;-0.25;-0.04;0.04;0.19;0.12;0.01
20190924;-0.44;0.15;-0.14;0.31;0.27;0.01
20190925;-0.11;-0.39;0.25;0.06;0.03;0.01
20190926;-0.15;-0.29;-0.01;0.19;0.07;0.01
20190927;-0.22;-0.03;0.44;0.04;0.33;0.01
20190930;0.13;-0.38;-0.45;0.33;-0.15;0.01
20191001;-0.82;0.44;-0.22;0.34;-0.05;0.01
20191002;-1.66;0.94;-0.09;-0.26;-0.06;0.01
20191003;0.24;-0.72;-0.68;-0.08;-0.24;0.01
20191004;1.06;-0.47;-0.34;0.20;-0.11;0.01
20191007;-0.17;0.07;-0.12;0.03;-0.12;0.01
20191008;-1.12;0.61;0.09;0.23;0.07;0.01
20191009;0.52;-0.62;-0.09;0.08;-0.14;0.01
20191010;0.63;-0.37;0.53;0.02;0.16;0.01
20191011;1.35;-0.13;0.48;0.02;0.21;0.01
20191014;-0.19;-0.03;-0.16;-0.06;-0.14;0.01
20191015;0.97;-0.05;0.02;-0.13;-0.38;0.01
20191016;0.06;0.37;0.19;0.02;0.14;0.01
20191017;0.32;0.33;-0.12;-0.09;-0.16;0.01
20191018;-0.26;0.22;0.59;-0.04;0.23;0.01
20191021;0.55;-0.02;0.28;0.06;0.03;0.01
20191022;-0.23;0.21;0.41;0.08;0.32;0.01
20191023;0.20;0.01;0.28;0.00;0.11;0.01
20191024;0.25;-0.31;-0.59;0.17;-0.36;0.01
20191025;0.31;0.15;-0.11;0.25;-0.07;0.01
20191028;0.44;-0.09;-0.17;0.07;-0.23;0.01
20191029;0.02;0.28;0.33;-0.23;0.21;0.01
20191030;0.30;-0.28;-0.78;0.15;-0.09;0.01
20191031;-0.21;0.19;-0.21;0.10;0.02;0.01
20191101;0.84;-0.04;0.21;-0.06;-0.10;0.01
20191104;0.39;-0.11;0.73;0.05;0.13;0.01
20191105;0.05;0.24;0.56;-0.02;0.15;0.01
20191106;0.01;-0.31;0.13;-0.04;0.16;0.01
20191107;0.31;0.03;0.20;0.14;-0.02;0.01
20191108;0.07;-0.02;-0.21;-0.12;-0.05;0.01
20191111;-0.08;0.27;-0.32;0.21;0.01;0.01
20191112;0.17;-0.10;0.04;-0.14;-0.08;0.01
20191113;-0.17;-0.21;-0.66;0.21;-0.15;0.01
20191114;-0.07;-0.10;-0.17;0.10;-0.23;0.01
20191115;0.69;-0.10;-0.15;-0.05;0.06;0.01
20191118;0.09;-0.06;-0.51;0.11;-0.24;0.01
20191119;-0.01;0.15;-0.44;-0.40;-0.13;0.01
20191120;-0.37;0.02;-0.29;-0.27;-0.15;0.01
20191121;-0.25;-0.10;0.13;0.00;-0.07;0.01
20191122;0.18;0.04;0.00;0.12;0.01;0.01
20191125;0.80;0.12;-0.21;-0.10;-0.09;0.01
20191126;0.21;0.02;-0.69;0.27;-0.30;0.01
20191127;0.29;0.06;-0.12;0.02;-0.04;0.01
20191128;-0.02;0.01;-0.04;-0.01;0.04;0.01
20191129;-0.40;0.22;-0.24;-0.12;-0.06;0.01
20191202;-0.56;0.48;0.40;0.01;0.27;0.01
20191203;-0.59;0.24;-0.47;-0.22;-0.41;0.01
20191204;0.54;0.02;0.26;0.04;0.15;0.01
20191205;0.20;0.14;0.25;0.06;0.23;0.01
20191206;0.77;-0.13;0.23;0.03;0.12;0.01
20191209;-0.21;0.30;0.29;-0.12;0.02;0.01
20191210;-0.08;0.14;0.03;-0.14;0.04;0.01
20191211;0.34;-0.15;0.07;0.10;0.11;0.01
20191212;0.57;-0.39;0.62;-0.27;0.16;0.01
20191213;0.41;0.16;-0.15;-0.09;-0.05;0.01
20191216;0.76;-0.20;-0.19;0.00;-0.11;0.01
20191217;-0.02;0.18;0.22;0.01;-0.06;0.01
20191218;-0.17;0.01;0.03;0.00;-0.07;0.01
20191219;0.27;-0.07;-0.24;0.09;-0.11;0.01
20191220;0.33;-0.24;-0.42;0.19;-0.17;0.01
20191223;0.11;0.11;-0.33;-0.08;0.10;0.01
20191224;0.03;0.26;-0.15;-0.08;-0.06;0.01
20191225;-0.03;-0.08;-0.13;0.01;-0.03;0.01
20191226;0.33;-0.19;-0.11;0.21;-0.13;0.01
20191227;0.27;0.17;-0.09;0.16;0.08;0.01
20191230;-0.45;0.45;0.32;-0.02;0.28;0.01
20191231;0.19;0.05;0.14;-0.18;0.09;0.01
20200101;-0.02;-0.02;0.00;-0.01;0.00;0.01
